Shit,Brand,Model,Version,Year,GOOD,BETTER,Column
,AUDI (Cont'd) ,S6 ,NA,01/2001-12/2004 ,58515 / 60038 ,N88 / DIN100 ,
,AUDI (Cont'd) ,S8 ,NA,1998-2000 ,58515 / 60038 ,N88 / DIN100 ,
,AUDI (Cont'd) ,SE ,NA,1974-89 ,54316 / 55457 ,N44 / N55 ,
,AUDI (Cont'd) ,TT Coupe ,NA,1999- ,55457,N55 ,
,AUDI (Cont'd) ,TT Roadster ,NA,05/2000- ,60038,DIN100 / DIN110 ,
,AUDI (Cont'd) ,TT RS ,NA,12/2009- ,58014,N75 ,
,AUDI (Cont'd) ,SOME NEW MODELS (STOP START) ,NA,2009- ,,AGM ONLY ,
,AUDI (Cont'd) ,A1 ALL MODELS ,NA,2010/2013 ,AGM70 ,AGM70H ,
,AUDI (Cont'd) ,A3 ALL MODELS ,NA,2006-2013 ,AGM70 ,AGM70H ,
,AUDI (Cont'd) ,A4 ALL MODELS ,NA,2007-2013 ,AGM70 ,AGM70H ,
,AUDI (Cont'd) ,A5 ALL MODELS ,NA,2008-2013 ,AGM70 ,AGM70H ,
,AUDI (Cont'd) ,Q5 ALL MODELS ,NA,2008- 2012 ,AGM70 ,AGM70H ,
,BENTLEY ,Arnage ,NA,2004-2008 ,85D26R or 90D26R ,N52 ,
,BENTLEY ,Azure ,NA,1999-2006 ,85D26R or 90D26R ,N52 ,
,BENTLEY ,Brooklands ,NA,1992-1997 ,85D26R or 90D26R ,N52 ,
,BENTLEY ,Continental ,NA,1991-1999 ,85D26R or 90D26R ,N52 ,
,BENTLEY ,Continental Flying Spur ,NA,2005,85D26R or 90D26R ,N52 ,
,BENTLEY ,Continental GT ,NA,2003-2010 ,85D26R or 90D26R ,N52 ,
,BENTLEY ,Eight ,NA,1984-1992 ,85D26R or 90D26R ,N52 ,
,BENTLEY ,Turbo R ,NA,1991-1999 ,85D26R or 90D26R ,N52 ,
,BMW ,118i ,NA,02/2005- ,56318,N66 ,
,BMW ,120i ,NA,10/2004- ,55457,N55 ,
,BMW ,318i E36 ,NA,04/1991-12/1999 ,56318,N66 ,
,BMW ,318i E46 ,NA,01/2000-07/2005 ,57412,N66H (190HIGH) ,
,BMW ,320 Petrol ,NA,1994-1995 ,55457,N55 ,
,BMW ,320d Diesel ,NA,06/2007- ,58014,N75 ,
,BMW ,320i Deluxe / Standard ,NA,05/2005-03/2010 ,57412,N66H (190HIGH) ,
,BMW ,325,NA,1994-1995 ,55457,N55 ,
,BMW ,520,NA,11/1990-03/1996 ,58515 / 60038 ,N88 / DIN100 ,
,BMW ,525,NA,03/1974-08/1988 ,56318,N66 ,
,BMW ,325i ,NA,10/2006- ,57412,N66H (190HIGH) ,
,BMW ,528i ,NA,08/1977-11/2000 ,56318,N66 ,
,BMW ,530,NA,1994- ,58515 / 60038 ,N88 / DIN100 ,
,BMW ,530D ,NA,11/2005- ,60038,DIN100 / DIN110 ,
,BMW ,335i ,NA,10/2006- ,57412,N66H (190HIGH) ,
,BMW ,535i ,NA,01/1986-01/1993 ,56318,N66 ,
,BMW ,535i ,NA,10/1996-10/2003 ,60038,DIN100 ,
,BMW ,540,NA,1994- ,58515 / 60038 ,N88 / DIN100 ,
,BMW ,540i ,NA,12/2005- ,60038,DIN100 / DIN110 ,
,BMW ,645Ci ,NA,05/2004- ,60038,DIN100 / DIN110 ,
,BMW ,650i ,NA,11/2005- ,60038,DIN100 / DIN110 ,
,BMW ,2000,NA,1967-75 ,55457 / 56318 ,N55 / N66 ,
,BMW ,2002,NA,1967-75 ,55457 / 56318 ,N55 / N66 ,
,BMW ,2500,NA,1967-75 ,55457 / 56318 ,N55 / N66 ,
,BMW ,2800,NA,1968-75 ,55457 / 56318 ,N55 / N66 ,
,BMW ,3 Series1 ,NA,1976-96 ,55457,N55 ,
,BMW ,3 Series320 / 325 ,NA,10/2000- ,60038,DIN100 / DIN110 ,
,BMW ,3.0LA ,NA,1973-78 ,55457 / 56318 ,N55 / N66 ,
,BMW ,3.0S ,NA,1973-78 ,55457 / 56318 ,N55 / N66 ,
,BMW ,3.0Si ,NA,1973-78 ,55457 / 56318 ,N55 / N66 ,
,BMW ,316 2 Door ,NA,1997-98 ,55457,N55 ,
,BMW ,323i ,NA,06/1979-12/1985 ,55457,N55 ,
,BMW ,323i (in boot) ,NA,01/1996- ,57412,N66H (190HIGH) ,
,BMW ,325i ,NA,1994-1995 ,55457,N55 ,
,BMW (Cont'd) ,325i (in boot) ,NA,09/1988-03/1996 ,56318,N66 ,
,BMW (Cont'd) ,525i (in boot) ,NA,03/2003- ,60038,DIN100 / DIN110 ,
,BMW (Cont'd) ,325Ci ,NA,06/2004-02/2007 ,58014,N75 ,
,BMW (Cont'd) ,328Ci ,NA,06/1999-09/2000 ,57412,N66H (190HIGH) ,
,BMW (Cont'd) ,328i ,NA,11/1995-10/2000 ,57412,N66H (190HIGH) ,
,BMW (Cont'd) ,330i ,NA,09/2000-02/2007 ,58014,N75 ,
,BMW (Cont'd) ,353i ,NA,01/1986-11/2003 ,56318,N66 ,
,BMW (Cont'd) ,5 Series ,NA,1973-94 ,55457 / 56318 ,N55 / N66 ,
,BMW (Cont'd) ,525E ,NA,1994- ,55457 / 56318 ,N55 / N66 ,
,BMW (Cont'd) ,6 Series ,NA,1977-88 ,55457 / 56318 ,N55 / N66 ,
,BMW (Cont'd) ,7 Series ,NA,1988-96 ,58515 / 60038 ,N88 / DIN100 ,
,BMW (Cont'd) ,735,NA,03/1985-03/1987 ,56318,N66 ,
,BMW (Cont'd) ,8 Series ,NA,1990-1995 ,56318,N66 ,
,BMW (Cont'd) ,M3 ,NA,1994-1996 ,56318,N66 ,
,BMW (Cont'd) ,M3 ,NA,1997,58515 / 60038 ,N88 / DIN100 ,
,BMW (Cont'd) ,M3 ,NA,2007- 2011 ,AGM70 ,AGM70H ,
,BMW (Cont'd) ,M3 CABRIOLET ,NA,2008- 2013 ,AGM70 ,AGM70H ,
,BMW (Cont'd) ,S5 ,NA,10/2007- ,LN5 ,AGM95 ,
,BMW (Cont'd) ,X1 ,NA,03/2010- ,58014,N75 ,
,BMW (Cont'd) ,X1S DRIVE ,NA,2009- 2012 ,AGM70 ,AGM70H ,
,BMW (Cont'd) ,X1 XDRIVE ALL MODELS ,NA,2009- 2012 ,AGM70 ,AGM70H ,
,BMW (Cont'd) ,X3 ,NA,07/2004- ,LN5 ,AGM95 ,
,BMW (Cont'd) ,X3 XDRIVE ALL MODELS ,NA,2008- 2010 ,AGM70 ,AGM70H ,
,BMW (Cont'd) ,X3 XDRIVE D ,NA,2008- 2010 ,LN5 ,AGM95 ,
,BMW (Cont'd) ,X5 ,NA,11/2000- ,LN5 ,AGM95 ,
,BMW (Cont'd) ,X5 x Drive 3.5i ,NA,06/2010- ,LN5 ,AGM95 ,
,BMW (Cont'd) ,X6 ,NA,07/2008- ,LN5 ,AGM95 ,
,BMW (Cont'd) ,Z3 ,NA,01/1997-07/2000 ,56318,N66 ,
,BMW (Cont'd) ,Z3 ,NA,08/2000-12/2002 ,57412,N66H (190 HIGH) ,
,BMW (Cont'd) ,Z4 ,NA,03/2003- ,56318,N66 ,
,BMW (Cont'd) ,SOME NEW MODELS (STOP START) ,NA,2010- ,,AGM ONLY ,
,BMW (Cont'd) ,118D ALL MODELS ,NA,2007- 2013 ,AGM70 ,AGM70H ,
,BMW (Cont'd) ,120D ALL MODELS ,NA,2007- 2011 ,AGM70 ,AGM70H ,
,BMW (Cont'd) ,123D ALL MODELS ,NA,2007- 2013 ,AGM70 ,AGM70H ,
,BMW (Cont'd) ,125I ,NA,2008- 2013 ,AGM70 ,AGM70H ,
,BMW (Cont'd) ,320D ALL MODELS ,NA,2005- 2010 ,LN5 ,AGM95 ,
,BMW (Cont'd) ,330D ALL MODELS ,NA,2008- 2013 ,LN5 ,AGM95 ,
,BMW (Cont'd) ,520D ,NA,2007- 2010 ,LN5 ,AGM95 ,
,BMW (Cont'd) ,520D ,NA,2010- 2013 ,AGM70 ,AGM70H ,
,BMW (Cont'd) ,730D ,NA,2008- 2012 ,LN5 ,AGM95 ,
,CHERRY ,J1 ,NA,2011- ,55457,N55 ,
,CHERRY ,J2 ,NA,2011- ,85D26R ,N52 ,
,CHEVROLET ,Early Models ,NA,1955-1971 ,CMF65AR / 22FR-520 ,N51 ,
,CHEVROLET ,Camaro ,NA,1982-2003 ,70-550 ,75 DT ,
,CHEVROLET ,Corvette ,NA,1991-1999 ,78-750 ,78 DT ,
,CHEVROLET ,Corvette ,NA,2006- ,55457,N55MF ,
,CHRYSLER - (See Dodge Also) ,300C Petrol / SRT8 ,NA,2007- ,58014,N75 ,
,CHRYSLER - (See Dodge Also) ,300C Diesel ,NA,2007- ,60038 / 58515 ,DIN100 / N88 ,
,CHRYSLER - (See Dodge Also) ,300C CRD ,NA,06/2006- ,60038,DIN100 ,
,CHRYSLER - (See Dodge Also) ,300C V8 ,NA,11/2005- ,58014,N75 ,
,CHRYSLER - (See Dodge Also) ,Crossfire ,NA,11/2003- ,57412,N66H (190 HIGH) ,
,CHRYSLER - (See Dodge Also) ,Neon ,NA,1997-99 ,,AM58RMF ,
,CHRYSLER - (See Dodge Also) ,Neon ,NA,2000-2003 ,54316,N44 ,
,CHRYSLER - (See Dodge Also) ,Nitro ,NA,2008- ,55458,N55RMF ,
,CHRYSLER - (See Dodge Also) ,PT Cruiser ,NA,08/2000-02/2004 ,55457,N55 ,
,CHRYSLER - (See Dodge Also) ,PT Cruiser ,NA,03/2004- ,54316,N44 ,
,CHRYSLER - (See Dodge Also) ,Prowler ,NA,2004- ,,AM58 ,
,CHRYSLER - (See Dodge Also) ,Sebring ,NA,09/2007- ,,AM58 ,
,CHRYSLER - (See Dodge Also) ,Valiant ,NA,01/1962-06/1981 ,CMF65AR or 22FR520 ,N50 ,
,CHRYSLER - (See Dodge Also) ,Voyager ,NA,1997- ,57013,DIN70-770 / N66RHMF ,
,CHRYSLER - (See Dodge Also) ,Voyager ,NA,2012- ,,31A Optima ,
,CITROEN ,1200,NA,1972-78 ,54316 / 55457 ,N44 / N55 ,
,CITROEN ,1220,NA,1972-78 ,54316 / 55457 ,N44 / N55 ,
,CITROEN ,19GT ,NA,1986-94 ,56318,N66 ,
,CITROEN ,6TRS ,NA,1986-94 ,56318,N66 ,
,CITROEN ,AXGT ,NA,1990-94 ,56318,N66 ,
,CITROEN ,Berlingo ,NA,08/1999-12/2005 ,54316 / 55457 ,N44 / N55 ,
,CITROEN ,Berlingo ,NA,2008- 2011 ,AGM70 ,AGM70H ,
,CITROEN ,BX1 ,NA,1986-90 ,22F520 ,N51 ,
,CITROEN ,BX16TRS ,NA,1986-94 ,56318,N66 ,
,CITROEN ,C3 ,NA,11/2003- ,55457,N55 ,
,CITROEN ,C3 ,NA,2009- 2013 ,AGM70 ,AGM70H ,
,CITROEN ,C4 ,NA,04/2005-02/2009 ,55457,N55 ,
,CITROEN ,C4 ,NA,2009-2011 ,AGM70 ,AGM70H ,
,CITROEN ,C4 PICASSO ,NA,2009-2013 ,AGM70 ,AGM70H ,
,CITROEN ,C5 4 Cyl Petrol ,NA,06/2001-01/2005 ,55457,N55 ,
,CITROEN ,C5 V6 Petrol & all Diesel ,NA,06/2001- ,56318,N66 ,
,CITROEN ,C5 X7 ALL MODELS ,NA,2008-2013 ,AGM70 ,AGM70H ,
,CITROEN ,Club ,NA,1972-78 ,54316 / 55457 ,N44 / N55 ,
,CITROEN ,CX2200 ,NA,1976-83 ,22F520 ,N51 ,
,CITROEN ,CX2400 ,NA,1976-83 ,22F520 ,N51 ,
,CITROEN ,CX2500IE ,NA,1984-85 ,55457,N55 ,
,CITROEN ,CXPallas ,NA,1984-85 ,55457,N55 ,
,CITROEN ,D Series ,NA,1967-75 ,22F520 ,N51 ,
,CITROEN ,Diesel Models ,NA,1976-88 ,56318,N66 ,
,CITROEN ,DS Series ,NA,1967-75 ,22F520 ,N51 ,
,CITROEN ,DS3 DS4 ALL MODELS ,NA,2010-2013 ,AGM70 ,AGM70H ,
,CITROEN ,GS ,NA,1972-78 ,54316 / 55457 ,N44 / N55 ,
,CITROEN ,Pallas ,NA,1976-83 ,22F520 ,N51 ,
,CITROEN ,TRI ,NA,1986-94 ,56318,N66 ,
,CITROEN ,TZI ,NA,1986-94 ,56318,N66 ,
,CITROEN ,Xantia ,NA,1994-95 ,55457 / 56318 ,N55 / N66 ,
,CITROEN ,Xantia ,NA,1996-98 ,55457,N55 ,
,CITROEN ,XM V6 Auto (HB) ,NA,1990-94 ,54316 / 55457 ,N44 / N55 ,
,CITROEN ,Xsara 5 dr. Hatch ,NA,1998- ,55457,N55 ,
,DAEWOO ,All Models ,NA,1994-95 ,CMF65AR or 22FR520 ,N50 ,
,DAEWOO ,Cielo ,NA,10/1995-02/1998 ,22F520 ,N51 ,
,DAEWOO ,Espero ,NA,03/1995-07/1997 ,55457,N55 ,
,DAEWOO ,Kalos ,NA,04/2003-12/2004 ,CMF65AR or 22FR520 ,N50 ,
,DAEWOO ,Lacetti ,NA,09/2003-12/2004 ,CMF65AR or 22FR520 ,N50 ,
,DAEWOO ,Lanos ,NA,08/1997-03/2003 ,CMF65AR or 22FR520 ,N50 ,
,DAEWOO ,Leganza ,NA,07/1997-01/2004 ,CMF65AR or 22FR520 ,N50 ,
,DAEWOO ,Matiz ,NA,10/1999-12/2004 ,40B19R ,NS40 ,
,DAEWOO ,Nubira ,NA,05/1998-05/2003 ,CMF65AR or 22FR520 ,N50 ,
,DAEWOO ,Tacuma ,NA,11/2000-12/2004 ,CMF65AR or 22FR520 ,N50 ,
,DAIHATSU ,Applause ,NA,1989-94 ,42B19LDF ,NS40ZA ,
,DAIHATSU ,Applause ,NA,1994-98 ,40B10L ,NS40L ,
,DAIHATSU ,Charade Centro ,NA,03/1995-12/1997 ,40B10L ,NS40L ,
,DAIHATSU ,Charade ,NA,04/1980-05/1996 ,40B19R ,NS40 ,
,DAIHATSU ,Charade ,NA,06/1996-12/2005 ,40B10L ,NS40L ,
,DAIHATSU ,Copen ,NA,10/2003-12/2005 ,40B10L ,NS40L ,
,DAIHATSU ,Cuore ,NA,07/2000-09/2003 ,40B10L ,NS40L ,
,DAIHATSU ,Feroza (Diesel) ,NA,1989-95 ,95-E41 ,N100 ,
,DAIHATSU ,Feroza (Petrol) 4WD ,NA,1989-97 ,40B19R ,NS40 ,
,DAIHATSU ,Handi Van ,NA,05/1981-06/1990 ,40B19R ,NS40 ,
,DAIHATSU ,Handi Van ,NA,03/1999-04/2002 ,40B10L ,NS40L ,
,DAIHATSU ,Hi Jet ,NA,1983-85 ,40B19R ,NS40 ,
,DAIHATSU ,Mira ,NA,1990-94 ,40B19R ,NS40 ,
,DAIHATSU ,Mira (C Assy) ,NA,1994- ,40B10L ,NS40L ,
,DAIHATSU ,Move 5 Dr ,NA,1997-98 ,40B10L ,NS40L ,
,DAIHATSU ,Pyzar 5 Dr 1.5 ,NA,1998- ,40B10L ,NS40L ,
,DAIHATSU ,Rocky (Diesel) ,NA,1984-95 ,95-E41 ,N100 ,
,DAIHATSU ,Rocky (Petrol) ,NA,1984-95 ,40B19R ,NS40 ,
,DAIHATSU ,Scat ,NA,1982-83 ,40B19R ,NS40 ,
,DAIHATSU ,Scat Diesel ,NA,1982-83 ,95-E41 ,N100 ,
,DAIHATSU (Cont’d) ,Sirion ,NA,07/1998-02/2005 ,40B10L ,NS40L ,
,DAIHATSU (Cont’d) ,Terios ,NA,07/1997-12/2005 ,40B10L ,NS40L ,
,DAIHATSU (Cont’d) ,YRV ,NA,07/2001-01/2005 ,40B10L ,NS40L ,
,DODGE - (See Chrysler Also) ,Avenger ,NA,09/2007- ,574.135,N66RMF ,
,Avenger ,Avenger ,NA,,,AM58MF ,
,Avenger ,Caliber ,NA,08/2006- ,574.135,N66RMF ,
,Avenger ,Caliber SXT ,NA,01/2007- ,574.135,N66RMF ,
,Avenger ,Calibre ,NA,07/2001- ,,AM58 ,
,Avenger ,Journey ,NA,08/2008- ,574.135,N66RMF ,
,Avenger ,Journey ,NA,09/2001- ,,AM58 ,
,Avenger ,Nitro Diesel ,NA,2009- ,105D31R ,N70ZZ ,
,Nitro Diesel ,Nitro Diesel ,NA,,125D31R ,125D31R - Foot Ledge ,
,Nitro Diesel 3.7 Petrol ,Nitro Diesel 3.7 Petrol ,NA,,574.135,N66RMF ,
,Nitro Diesel 3.7 Petrol ,Nitro Petrol ,NA,2009- ,574.135,N66RMF-no side ledge ,
,Nitro Diesel 3.7 Petrol ,Nitro Petrol ,NA,2008- ,55458,N55RMF ,
,Ram ,Ram ,NA,,58014,N77MF ,
,EUNOS ,Eunos 30X ,NA,11/1992-05/1996 ,75D23L or 55D23L ,75D23L or 55D23L ,
,EUNOS ,Eunos 500 ,NA,1993-96 ,,AM58MF ,
,EUNOS ,800 (Miller Engine) ,NA,03/1994-05/1996 ,85D26L ,N53 ,
,FERRARI ,Most Models ,NA,1965-95 ,22F520 ,N51 ,
,FERRARI ,Maranello 550 5.5 ,NA,1997- ,58515,N88 ,
,FERRARI ,Punto All Models ,NA,2006- ,55457,N55 ,
,FERRARI ,Spider 360 ,NA,1999- ,85D26R ,N52 ,
,FERRARI ,Testarossa ,NA,1995- ,56318,N66 / N55 ,
,FERRARI ,Testarossa GT / 512 ,NA,2001- ,56318,N66 ,
,FERRARI ,F355 V8 (Battery under R/F guard) ,NA,02/1995-07/1999 ,56318,N66 / N55 ,
,"328 GTB, 348 TBS, 355 GTB, ","328 GTB, 348 TBS, 355 GTB, ",NA,,56318,N66 ,
,"456 GT, 599 GTB, GTH, GTS ","456 GT, 599 GTB, GTH, GTS ",NA,,56318,N66 ,
,"456 GT, 599 GTB, GTH, GTS ","Maranello, Mondana, Mondial, ",NA,2003- ,56318,N66 ,
,FIAT ,125,NA,1968-79 ,CMF65AR or 22FR-520 ,N50 ,
,FIAT ,127,NA,1968-79 ,CMF65AR or 22FR-520 ,N50 ,
,FIAT ,128,NA,1968-79 ,CMF65AR or 22FR-520 ,N50 ,
,FIAT ,130,NA,1973-80 ,CMF65AR or 22FR-520 ,N50 ,
,FIAT ,131,NA,1973-80 ,CMF65AR or 22FR-520 ,N50 ,
,FIAT ,132,NA,1973-80 ,CMF65AR or 22FR-520 ,N50 ,
,FIAT ,500,NA,1961-71 ,N43MF ,N43MF ,
,FIAT ,500,NA,02/2008- ,54316,N44 ,
,FIAT ,500,NA,2008-2013 ,LN2 ,AGM60 ,
,FIAT ,770,NA,1961-71 ,N43MF ,N43MF ,
,FIAT ,850,NA,1965-71 ,N43MF ,N43MF ,
,FIAT ,1100,NA,1965-71 ,N43MF ,N43MF ,
,FIAT ,1500,NA,1965-71 ,N43MF ,N43MF ,
,FIAT ,1800,NA,1965-71 ,N43MF ,N43MF ,
,FIAT ,2100,NA,1965-71 ,N43MF ,N43MF ,
,FIAT ,2300,NA,1965-71 ,N43MF ,N43MF ,
,FIAT ,1100E ,NA,1961-71 ,N43MF ,N43MF ,
,FIAT ,110D ,NA,1961-71 ,N43MF ,N43MF ,
,FIAT ,124,NA,1968-79 ,CMF65AR or 22FR-520 ,N50 ,
,FIAT ,500D ,NA,1961-71 ,N43MF ,N43MF ,
,FIAT ,600D ,NA,1961-71 ,N43MF ,N43MF ,
,FIAT ,850S ,NA,1965-71 ,N43MF ,N43MF ,
,FIAT ,Argenta ,NA,1983-85 ,55457,N55 ,
,FIAT ,Chroma 2.0 Auto (Sedan) ,NA,1988-89 ,55457,N55 ,
,FIAT ,Ducato ,NA,02/2002- ,58515 / 60038 ,N88 / N100 ,
,FIAT ,Punto Diesel ,NA,07/2006- ,55457,N55 ,
,FIAT ,Punto Petrol ,NA,10/2006- ,54316,N44 ,
,FIAT ,Regata ,NA,1984-92 ,55457,N55 ,
,FIAT ,Ritmo ,NA,04/2008- ,56219,N55H (190 HIGH) ,
,FIAT ,Super Brava ,NA,1981-85 ,CMF65AR or 22FR-520 ,N50 ,
,FIAT ,X 1.9 ,NA,1978-83 ,CMF65AR or 22FR-520 ,N50 ,
,FORD ,Bronco ,NA,1981-89 ,CMF65AL ,N51 ,
,FORD ,Capri (Australian Build) ,NA,1989-4/92 ,42B19LDF ,NS40ZAL ,
,FORD ,Capri (Australian Build) ,NA,5/92-94 ,CMF65AL ,N51 ,
,FORD ,Capri (English Build) ,NA,1960-72 ,N43MF ,N43MF ,
,FORD ,Capri GT 3000 V6 ,NA,1970-73 ,CMF65AL ,N51 ,
,FORD ,Capri RS 3100 V6 ,NA,1972-74 ,CMF65AL ,N51 ,
,FORD ,Corsair ,NA,1989-91 ,CMF65AL ,N51 ,
,FORD ,Cortina 4 Cyl ,NA,1962-74 ,N43MF ,N43MF ,
,FORD ,Cortina 4 Cyl ,NA,1975-82 ,CMF65AL ,N51 ,
,FORD ,Cortina 6 Cyl ,NA,1972-82 ,CMF65AL ,N51 ,
,FORD ,Cougar ,NA,2000- ,56318,N66 ,
,FORD ,Courier 4 X 4 ,NA,1998,CMF65AR or 22FR520 ,N50 ,
,FORD ,Courier Crew Cab (Diesel) ,NA,1986-94 ,105D31R ,N70ZZ ,
,FORD ,Courier Crew Cab (Petrol) ,NA,1986-94 ,42B19LDF ,NS40ZA ,
,FORD ,Courier PE Diesel ,NA,1998- ,105D31R ,N70ZZ ,
,FORD ,Courier PE Petrol ,NA,1998- ,75D23R or 55D23R ,75D23R or 55D23R ,
,FORD ,Econovan JG Petrol ,NA,1997-98 ,40B19L ,NS40L ,
,FORD ,Econovan Maxi ,NA,1997-98 ,42B19LDF ,NS40ZAL ,
,FORD ,Econovan Maxi (Diesel) ,NA,1985-87 ,105D31R ,N70ZZ ,
,FORD ,Econovan Maxi (Petrol) ,NA,1985-92 ,42B19LDF ,NS40ZAL ,
,FORD ,Econovan Maxi (Petrol) ,NA,03/2003-07/2006 ,75D23L or 55D23L ,75D23L or 55D23L ,
,FORD ,Escape ,NA,02/2001-05/2006 ,85D26L ,N53 ,
,FORD ,Escape XLT ,NA,06/2006-03/2008 ,75D23L or 55D23L ,75D23L or 55D23L ,
,FORD ,Escort ,NA,1970-75 ,N43MF ,N43MF ,
,FORD ,Escort ,NA,1975-79 ,CMF65AL ,N51 ,
